ID,Region,Region or State,Year,Land use,Value,Units,Release date,Source
227,Southeast,Alabama,1959,Total land,32678,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
228,Delta States total,Delta States,1959,Total land,92690,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
229,Delta States,Mississippi,1959,Total land,30223,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
230,Delta States,Arkansas,1959,Total land,33599,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
231,Delta States,Louisiana,1959,Total land,28868,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
232,Southern Plains total,Southern Plains,1959,Total land,212306,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
233,Southern Plains,Oklahoma,1959,Total land,44088,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
234,Southern Plains,Texas,1959,Total land,168218,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
235,Mountain total,Mountain,1959,Total land,548448,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
236,Mountain,Montana,1959,Total land,93271,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
237,Mountain,Idaho,1959,Total land,52933,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
238,Mountain,Wyoming,1959,Total land,62343,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
239,Mountain,Colorado,1959,Total land,66486,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
240,Mountain,New Mexico,1959,Total land,77766,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
241,Mountain,Arizona,1959,Total land,72688,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
242,Mountain,Utah,1959,Total land,52697,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
243,Mountain,Nevada,1959,Total land,70264,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
244,Pacific total,Pacific,1959,Total land,204500,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
245,Pacific,Washington,1959,Total land,42694,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
246,Pacific,Oregon,1959,Total land,61599,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
247,Pacific,California,1959,Total land,100207,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
248,48 States,48 States,1959,Total land,1901756,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
249,AK and HI,Alaska,1959,Total land,365481,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
250,AK and HI,Hawaii,1959,Total land,4106,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
251,U.S. total,U.S. total,1959,Total land,2271343,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
252,Northeast total,Northeast,1964,Total land,112223,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
253,Northeast,Maine,1964,Total land,19797,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
254,Northeast,New Hampshire,1964,Total land,5781,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
255,Northeast,Vermont,1964,Total land,5935,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
256,Northeast,Massachusetts,1964,Total land,5013,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
257,Northeast,Rhode Island,1964,Total land,671,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
258,Northeast,Connecticut,1964,Total land,3117,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
259,Northeast,New York,1964,Total land,30636,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
260,Northeast,New Jersey,1964,Total land,4820,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
261,Northeast,Pennsylvania,1964,Total land,28816,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
262,Northeast,Delaware,1964,Total land,1268,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
263,Northeast,Maryland,1964,Total land,6330,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
264,Northeast,District of Columbia,1964,Total land,39,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
265,Lake States total,Lake States,1964,Total land,121966,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
266,Lake States,Michigan,1964,Total land,36364,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
267,Lake States,Wisconsin,1964,Total land,34857,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
268,Lake States,Minnesota,1964,Total land,50745,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
269,Corn Belt total,Corn Belt,1964,Total land,165229,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
270,Corn Belt,Ohio,1964,Total land,26249,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
271,Corn Belt,Indiana,1964,Total land,23161,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
272,Corn Belt,Illinois,1964,Total land,35761,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
273,Corn Belt,Iowa,1964,Total land,35868,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
274,Corn Belt,Missouri,1964,Total land,44190,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
275,Northern Plains total,Northern Plains,1964,Total land,194441,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
276,Northern Plains,North Dakota,1964,Total land,44339,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
277,Northern Plains,South Dakota,1964,Total land,48612,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
278,Northern Plains,Nebraska,1964,Total land,48974,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
279,Northern Plains,Kansas,1964,Total land,52516,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
280,Appalachian total,Appalachian,1964,Total land,124175,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
281,Appalachian,Virginia,1964,Total land,25498,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
282,Appalachian,West Virginia,1964,Total land,15414,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
283,Appalachian,North Carolina,1964,Total land,31283,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
284,Appalachian,Kentucky,1964,Total land,25505,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
285,Appalachian,Tennessee,1964,Total land,26475,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
286,Southeast total,Southeast,1964,Total land,123817,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
287,Southeast,South Carolina,1964,Total land,19379,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
288,Southeast,Georgia,1964,Total land,37246,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
289,Southeast,Florida,1964,Total land,34647,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
290,Southeast,Alabama,1964,Total land,32545,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
291,Delta States total,Delta States,1964,Total land,92600,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
292,Delta States,Mississippi,1964,Total land,30309,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
293,Delta States,Arkansas,1964,Total land,33392,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
294,Delta States,Louisiana,1964,Total land,28899,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
295,Southern Plains total,Southern Plains,1964,Total land,212451,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
296,Southern Plains,Oklahoma,1964,Total land,44150,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
297,Southern Plains,Texas,1964,Total land,168301,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
298,Mountain total,Mountain,1964,Total land,548245,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
299,Mountain,Montana,1964,Total land,93186,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
300,Mountain,Idaho,1964,Total land,52913,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
301,Mountain,Wyoming,1964,Total land,62260,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
302,Mountain,Colorado,1964,Total land,66428,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
303,Mountain,New Mexico,1964,Total land,77725,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
304,Mountain,Arizona,1964,Total land,72680,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
305,Mountain,Utah,1964,Total land,52724,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
306,Mountain,Nevada,1964,Total land,70329,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
307,Pacific total,Pacific,1964,Total land,204422,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
308,Pacific,Washington,1964,Total land,42664,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
309,Pacific,Oregon,1964,Total land,61574,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
310,Pacific,California,1964,Total land,100184,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
311,48 States,48 States,1964,Total land,1899569,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
312,AK and HI,Alaska,1964,Total land,362517,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
313,AK and HI,Hawaii,1964,Total land,4187,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
314,U.S. total,U.S. total,1964,Total land,2266273,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
315,Northeast total,Northeast,1969,Total land,112129,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
316,Northeast,Maine,1969,Total land,19789,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
317,Northeast,New Hampshire,1969,Total land,5777,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
318,Northeast,Vermont,1969,Total land,5931,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
319,Northeast,Massachusetts,1969,Total land,5009,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
320,Northeast,Rhode Island,1969,Total land,671,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
321,Northeast,Connecticut,1969,Total land,3112,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
322,Northeast,New York,1969,Total land,30612,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
323,Northeast,New Jersey,1969,Total land,4813,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
324,Northeast,Pennsylvania,1969,Total land,28778,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
325,Northeast,Delaware,1969,Total land,1268,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
326,Northeast,Maryland,1969,Total land,6330,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
327,Northeast,District of Columbia,1969,Total land,39,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
328,Lake States total,Lake States,1969,Total land,121965,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
329,Lake States,Michigan,1969,Total land,36363,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
330,Lake States,Wisconsin,1969,Total land,34857,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
331,Lake States,Minnesota,1969,Total land,50745,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
